,x,y,Time
0,570,383,1593691069.771641
1,570,383,1593691069.7739542
2,570,384,1593691069.7757351
3,570,384,1593691069.7766669
4,570,384,1593691069.7773051
5,570,384,1593691069.77904
6,570,384,1593691069.780787
7,570,385,1593691069.7843468
8,570,385,1593691069.7863739
9,570,385,1593691069.7882502
10,570,386,1593691069.7890189
11,570,386,1593691069.7896461
12,570,386,1593691069.7913878
13,570,386,1593691069.79313
14,570,386,1593691069.793749
15,570,387,1593691069.794485
16,570,387,1593691069.7962618
17,570,387,1593691069.79699
18,570,387,1593691069.7976818
19,570,387,1593691069.799459
20,570,388,1593691069.801216
21,570,388,1593691069.801924
22,570,388,1593691069.8027031
23,570,388,1593691069.804342
24,570,388,1593691069.804988
25,570,388,1593691069.8056
26,570,389,1593691069.807327
27,570,389,1593691069.8079412
28,570,389,1593691069.80862
29,570,389,1593691069.810257
30,570,390,1593691069.81103
31,570,390,1593691069.8116548
32,570,390,1593691069.813403
33,570,390,1593691069.814126
34,570,391,1593691069.8147788
35,570,391,1593691069.816396
36,570,391,1593691069.817039
37,570,391,1593691069.8176498
38,570,392,1593691069.8193831
39,570,392,1593691069.82009
40,570,392,1593691069.820801
41,570,393,1593691069.822461
42,570,393,1593691069.8242
43,569,394,1593691069.824859
44,569,394,1593691069.826584
45,569,394,1593691069.828253
46,569,395,1593691069.828921
47,569,396,1593691069.830656
48,569,396,1593691069.832285
49,569,397,1593691069.8329222
50,569,398,1593691069.834647
51,569,398,1593691069.835264
52,569,398,1593691069.835871
53,569,399,1593691069.837655
54,570,399,1593691069.838371
55,570,399,1593691069.839005
56,570,400,1593691069.840744
57,570,402,1593691069.842459
58,570,402,1593691069.843086
59,570,403,1593691069.844814
60,570,403,1593691069.846555
61,570,404,1593691069.847203
62,570,405,1593691069.848932
63,570,406,1593691069.850666
64,570,406,1593691069.851285
65,570,408,1593691069.853013
66,570,409,1593691069.854753
67,570,409,1593691069.855366
68,570,411,1593691069.857095
69,570,412,1593691069.858834
70,570,412,1593691069.859447
71,570,413,1593691069.8611689
72,570,414,1593691069.8629131
73,570,414,1593691069.86356
74,570,416,1593691069.865298
75,570,417,1593691069.867043
76,570,417,1593691069.8676622
77,570,419,1593691069.8694038
78,570,421,1593691069.871226
79,570,421,1593691069.871849
80,570,422,1593691069.8724859
81,570,422,1593691069.874219
82,570,423,1593691069.8748538
83,570,423,1593691069.875461
84,570,425,1593691069.877186
85,570,425,1593691069.877794
86,570,426,1593691069.8795369
87,570,428,1593691069.88129
88,570,428,1593691069.881981
89,570,429,1593691069.882748
90,570,431,1593691069.884396
91,570,431,1593691069.885033
92,570,431,1593691069.885653
93,570,433,1593691069.887386
94,570,433,1593691069.888015
95,570,434,1593691069.888656
96,570,434,1593691069.890272
97,570,435,1593691069.890913
98,570,436,1593691069.892643
99,570,436,1593691069.894271
100,570,437,1593691069.894918
101,570,437,1593691069.896672
102,570,440,1593691069.898386
103,570,440,1593691069.899037
104,570,441,1593691069.9007769
105,570,442,1593691069.902449
106,570,442,1593691069.9030771
107,570,443,1593691069.904819
108,570,444,1593691069.906456
109,570,444,1593691069.9070878
110,571,444,1593691069.908821
111,571,445,1593691069.910463
112,571,445,1593691069.911099
113,571,446,1593691069.91285
114,571,447,1593691069.914688
115,571,447,1593691069.915387
116,571,447,1593691069.9160051
117,571,448,1593691069.9177501
118,571,448,1593691069.918384
119,571,448,1593691069.919016
120,571,449,1593691069.920746
121,571,449,1593691069.921366
122,571,449,1593691069.921982
123,571,450,1593691069.923728
124,571,451,1593691069.924356
125,571,451,1593691069.925011
126,571,451,1593691069.926753
127,571,451,1593691069.927375
128,571,451,1593691069.927988
129,571,452,1593691069.929787
130,571,453,1593691069.930597
131,571,453,1593691069.931246
132,571,453,1593691069.93187
133,571,454,1593691069.9336278
134,571,454,1593691069.934355
135,571,454,1593691069.935015
136,571,455,1593691069.936754
137,571,455,1593691069.937381
138,571,455,1593691069.938
139,571,456,1593691069.939753
140,571,457,1593691069.940574
141,571,457,1593691069.941199
