,x,y,Time
0,752,1128,1594989479.907662
1,752,1128,1594989479.9086626
2,752,1128,1594989479.9096634
3,752,1128,1594989479.910664
4,752,1128,1594989479.910664
5,752,1128,1594989479.913667
6,752,1128,1594989479.914668
7,752,1128,1594989479.915669
8,752,1128,1594989479.9166696
9,752,1128,1594989479.9166696
10,752,1128,1594989479.9196725
11,752,1128,1594989479.9206722
12,752,1128,1594989479.9216745
13,752,1128,1594989479.9216745
14,752,1128,1594989479.9226751
15,752,1128,1594989479.9236765
16,752,1128,1594989479.9246674
17,752,1128,1594989479.9246674
18,752,1128,1594989479.925678
19,752,1128,1594989479.9266791
20,752,1128,1594989479.9266791
21,752,1128,1594989479.92768
22,752,1128,1594989479.9286807
23,752,1128,1594989479.9286807
24,752,1128,1594989479.9296818
25,752,1128,1594989479.9306827
26,752,1128,1594989479.9306827
27,752,1128,1594989479.9316835
28,752,1128,1594989479.9326847
29,752,1128,1594989479.9326847
30,752,1128,1594989479.9336855
31,752,1128,1594989479.9346864
32,752,1128,1594989479.935687
33,752,1128,1594989479.935687
34,752,1128,1594989479.93668
35,752,1128,1594989479.9376879
36,752,1128,1594989479.9376879
37,752,1128,1594989479.93869
38,752,1128,1594989479.939691
39,752,1128,1594989479.939691
40,752,1128,1594989479.9406917
41,752,1128,1594989479.9416928
42,752,1128,1594989479.9416928
43,752,1128,1594989479.9426935
44,752,1128,1594989479.9436944
45,752,1128,1594989479.9436944
46,752,1128,1594989479.9446952
47,752,1128,1594989479.9456964
48,752,1128,1594989479.9456964
49,752,1128,1594989479.9466972
50,752,1128,1594989479.947698
51,752,1128,1594989479.947698
52,752,1128,1594989479.948699
53,752,1128,1594989479.9497
54,752,1128,1594989479.9497
55,752,1128,1594989479.9507008
56,752,1128,1594989479.9517016
57,752,1128,1594989479.9517016
58,752,1128,1594989479.9527028
59,752,1128,1594989479.9537034
60,752,1128,1594989479.9537034
61,752,1128,1594989479.9547033
62,752,1128,1594989479.9557054
63,752,1128,1594989479.9557054
64,752,1128,1594989479.9567063
65,752,1128,1594989479.9577072
66,752,1128,1594989479.9587083
67,752,1128,1594989479.9587083
68,752,1128,1594989479.9597092
69,752,1128,1594989479.9607098
70,752,1128,1594989479.9607098
71,752,1128,1594989479.961711
72,752,1128,1594989479.9627118
73,752,1128,1594989479.9627118
74,752,1128,1594989479.9637127
75,752,1128,1594989479.9647136
76,752,1128,1594989479.9647136
