,x,y,Time
103,485,364,1593689858.5204558
104,485,365,1593689858.521981
105,485,365,1593689858.522644
106,485,365,1593689858.523288
107,484,365,1593689858.525065
108,484,366,1593689858.525841
109,484,366,1593689858.526582
110,484,366,1593689858.527321
111,484,366,1593689858.529197
112,484,367,1593689858.5298932
113,484,367,1593689858.530625
114,484,367,1593689858.531279
115,484,367,1593689858.533053
116,484,368,1593689858.533819
117,484,368,1593689858.534579
118,484,368,1593689858.535317
119,483,368,1593689858.537201
120,483,369,1593689858.538049
121,483,369,1593689858.538831
122,483,369,1593689858.539493
123,483,369,1593689858.54027
124,483,369,1593689858.542002
125,483,369,1593689858.5426629
126,483,369,1593689858.543314
127,483,370,1593689858.5450828
128,483,370,1593689858.5457559
129,483,370,1593689858.546435
130,483,371,1593689858.5479832
131,483,371,1593689858.5486479
132,483,371,1593689858.549292
133,483,371,1593689858.551064
134,483,372,1593689858.551842
135,483,372,1593689858.552583
136,483,372,1593689858.553324
137,483,372,1593689858.555109
138,482,373,1593689858.555944
139,482,373,1593689858.5567412
140,482,373,1593689858.557398
141,482,373,1593689858.559168
142,482,373,1593689858.559857
143,482,373,1593689858.5606022
144,482,373,1593689858.561379
145,482,374,1593689858.5631812
146,482,375,1593689858.563856
147,482,375,1593689858.56453
148,482,375,1593689858.5652668
149,482,375,1593689858.567173
150,482,376,1593689858.568158
151,482,376,1593689858.5689778
152,482,376,1593689858.569659
153,481,377,1593689858.570478
154,481,377,1593689858.572022
155,481,377,1593689858.572694
156,481,377,1593689858.5733418
157,481,379,1593689858.575118
158,481,380,1593689858.575796
159,481,380,1593689858.5764658
160,481,380,1593689858.577974
161,481,380,1593689858.578635
162,481,380,1593689858.579285
163,481,381,1593689858.581057
164,481,382,1593689858.5818539
165,481,382,1593689858.582593
166,481,382,1593689858.583329
167,481,383,1593689858.585112
168,481,383,1593689858.5857742
169,481,384,1593689858.586454
170,481,385,1593689858.587994
171,481,385,1593689858.588662
172,481,385,1593689858.58931
173,480,386,1593689858.5911849
174,480,387,1593689858.592034
175,480,387,1593689858.592798
176,480,387,1593689858.593465
177,480,387,1593689858.595243
178,480,388,1593689858.597025
179,480,388,1593689858.597785
180,480,390,1593689858.598546
181,480,390,1593689858.5992892
182,480,391,1593689858.601161
183,480,392,1593689858.6019998
184,480,392,1593689858.6027892
185,480,392,1593689858.6034439
186,480,394,1593689858.605223
187,480,395,1593689858.605918
188,480,395,1593689858.606655
189,480,395,1593689858.607313
190,480,396,1593689858.6091
191,480,398,1593689858.609897
192,480,398,1593689858.610701
193,480,398,1593689858.61137
194,481,399,1593689858.613149
195,481,400,1593689858.613822
196,481,400,1593689858.614495
197,481,402,1593689858.616002
198,481,402,1593689858.61669
199,481,402,1593689858.617339
200,482,404,1593689858.619117
201,482,406,1593689858.619787
202,482,406,1593689858.62048
203,482,407,1593689858.621988
204,482,407,1593689858.6226602
205,482,407,1593689858.623308
206,483,409,1593689858.625089
207,483,410,1593689858.62591
208,483,410,1593689858.626712
209,483,410,1593689858.627373
210,483,412,1593689858.6291509
211,484,414,1593689858.629833
212,484,414,1593689858.6305091
213,485,415,1593689858.631992
214,485,415,1593689858.6326652
215,485,415,1593689858.633315
216,485,417,1593689858.6351092
