,x,y,Time
0,752,1128,1594989481.9124773
1,752,1128,1594989481.9134784
2,752,1128,1594989481.9134784
3,752,1128,1594989481.917482
4,752,1128,1594989481.917482
5,752,1128,1594989481.9184828
6,752,1128,1594989481.9194837
7,752,1128,1594989481.9204845
8,752,1128,1594989481.9204845
9,752,1128,1594989481.9274967
10,752,1128,1594989481.9284968
11,752,1128,1594989481.9294982
12,752,1128,1594989481.9294982
13,752,1128,1594989481.9304988
14,752,1128,1594989481.9314995
15,752,1128,1594989481.9314995
16,752,1128,1594989481.9325008
17,752,1128,1594989481.9335015
18,752,1128,1594989481.9335015
19,752,1128,1594989481.9345026
20,752,1128,1594989481.9355032
21,752,1128,1594989481.9355032
22,752,1128,1594989481.9365044
23,752,1128,1594989481.937505
24,752,1128,1594989481.937505
25,752,1128,1594989481.9385061
26,752,1128,1594989481.9395075
27,752,1128,1594989481.9395075
28,752,1128,1594989481.9405077
29,752,1128,1594989481.9415085
30,752,1128,1594989481.9415085
31,752,1128,1594989481.94251
32,752,1128,1594989481.9435105
33,752,1128,1594989481.9445117
34,752,1128,1594989481.9445117
35,752,1128,1594989481.9455128
36,752,1128,1594989481.9465134
37,752,1128,1594989481.9465134
38,752,1128,1594989481.9475143
39,752,1128,1594989481.9485152
40,752,1128,1594989481.9485152
41,752,1128,1594989481.9495163
42,752,1128,1594989481.9505167
43,752,1128,1594989481.9505167
44,752,1128,1594989481.9515176
45,752,1128,1594989481.952519
46,752,1128,1594989481.952519
47,752,1128,1594989481.9535196
48,752,1128,1594989481.9545205
49,752,1128,1594989481.9545205
50,752,1128,1594989481.9555216
51,752,1128,1594989481.9565225
52,752,1128,1594989481.9565225
53,752,1128,1594989481.957523
54,752,1128,1594989481.9585242
55,752,1128,1594989481.9585242
56,752,1128,1594989481.9595253
57,752,1128,1594989481.960526
58,752,1128,1594989481.960526
59,752,1128,1594989481.9615269
60,752,1128,1594989481.9625278
61,752,1128,1594989481.9635289
62,752,1128,1594989481.9635289
63,752,1128,1594989481.96453
64,752,1128,1594989481.9655306
65,752,1128,1594989481.9655306
66,752,1128,1594989481.9665315
67,752,1128,1594989481.9675324
68,752,1128,1594989481.9675324
69,752,1128,1594989481.9685333
70,752,1128,1594989481.9695342
71,752,1128,1594989481.9695342
72,752,1128,1594989481.9705353
73,752,1128,1594989481.9715362
74,752,1128,1594989481.9715362
75,752,1128,1594989481.972537
76,752,1128,1594989481.9735377
77,752,1128,1594989481.9735377
78,752,1128,1594989481.9745388
79,752,1128,1594989481.9755397
80,752,1128,1594989481.9755397
81,752,1128,1594989481.9765406
82,752,1128,1594989481.9775414
83,752,1128,1594989481.9775414
84,752,1128,1594989481.9785423
85,752,1128,1594989481.9795434
86,752,1128,1594989481.980544
87,752,1128,1594989481.980544
88,752,1128,1594989481.9815452
89,752,1128,1594989481.982546
90,752,1128,1594989481.982546
91,752,1128,1594989481.983547
92,752,1128,1594989481.9845479
93,752,1128,1594989481.9845479
94,752,1128,1594989481.9855487
95,752,1128,1594989481.9865499
96,752,1128,1594989481.9865499
97,752,1128,1594989481.9875507
98,752,1128,1594989481.9885519
99,752,1128,1594989481.9885519
100,752,1128,1594989481.9895527
101,752,1128,1594989481.9905534
102,752,1128,1594989481.9905534
103,752,1128,1594989481.9915543
104,752,1128,1594989481.992555
105,752,1128,1594989481.992555
106,752,1128,1594989481.9935563
107,752,1128,1594989481.994557
108,752,1128,1594989481.994557
109,752,1128,1594989481.9955583
110,752,1128,1594989481.996559
111,752,1128,1594989481.9975598
112,752,1128,1594989481.9975598
113,752,1128,1594989481.9985604
114,752,1128,1594989481.9995615
115,752,1128,1594989481.9995615
116,752,1128,1594989482.0005622
117,752,1128,1594989482.001563
118,752,1128,1594989482.001563
119,752,1128,1594989482.0025642
120,752,1128,1594989482.003565
121,752,1128,1594989482.003565
122,752,1128,1594989482.004566
123,752,1128,1594989482.005567
124,752,1128,1594989482.005567
125,752,1128,1594989482.006568
126,752,1128,1594989482.0075688
127,752,1128,1594989482.0075688
128,752,1128,1594989482.0085697
129,752,1128,1594989482.0095706
130,752,1128,1594989482.0095706
131,752,1128,1594989482.0105715
132,752,1128,1594989482.0115724
133,752,1128,1594989482.0125732
134,752,1128,1594989482.0125732
135,752,1128,1594989482.0135741
136,752,1128,1594989482.0145757
137,752,1128,1594989482.0145757
138,752,1128,1594989482.0155761
139,752,1128,1594989482.016577
140,752,1128,1594989482.016577
141,752,1128,1594989482.0175776
142,752,1128,1594989482.0185788
143,752,1128,1594989482.0185788
144,752,1128,1594989482.01958
145,752,1128,1594989482.0205805
146,752,1128,1594989482.0205805
147,752,1128,1594989482.0215816
148,752,1128,1594989482.0225825
149,752,1128,1594989482.0225825
150,752,1128,1594989482.0235832
151,752,1128,1594989482.0245843
152,752,1128,1594989482.0245843
153,752,1128,1594989482.0255852
154,752,1128,1594989482.026586
155,752,1128,1594989482.0275872
156,752,1128,1594989482.0275872
157,752,1128,1594989482.0285878
158,752,1128,1594989482.0295887
159,752,1128,1594989482.0295887
160,752,1128,1594989482.0305896
161,752,1128,1594989482.0315907
162,752,1128,1594989482.0315907
163,752,1128,1594989482.0325916
164,752,1128,1594989482.0335922
165,752,1128,1594989482.0335922
166,752,1128,1594989482.0345933
167,752,1128,1594989482.0355942
168,752,1128,1594989482.0355942
169,752,1128,1594989482.036595
170,752,1128,1594989482.037596
171,752,1128,1594989482.0385976
172,752,1128,1594989482.0385976
173,752,1128,1594989482.039598
174,752,1128,1594989482.0405989
175,752,1128,1594989482.0405989
176,752,1128,1594989482.0415998
177,752,1128,1594989482.0426006
178,752,1128,1594989482.0426006
179,752,1128,1594989482.043602
180,752,1128,1594989482.0446024
181,752,1128,1594989482.0446024
182,752,1128,1594989482.0456033
183,752,1128,1594989482.0466044
184,752,1128,1594989482.0466044
185,752,1128,1594989482.0476053
186,752,1128,1594989482.0486062
187,752,1128,1594989482.0486062
188,752,1128,1594989482.0496073
189,752,1128,1594989482.0506082
190,752,1128,1594989482.0516088
191,752,1128,1594989482.0516088
192,752,1128,1594989482.0526097
193,752,1128,1594989482.0536106
194,752,1128,1594989482.0536106
195,752,1128,1594989482.0546117
196,752,1128,1594989482.0556126
197,752,1128,1594989482.0556126
198,752,1128,1594989482.0566134
199,752,1128,1594989482.057614
200,752,1128,1594989482.057614
201,752,1128,1594989482.058615
202,752,1128,1594989482.059616
203,752,1128,1594989482.0606172
204,752,1128,1594989482.0606172
205,752,1128,1594989482.0616179
206,752,1128,1594989482.062619
207,752,1128,1594989482.062619
208,752,1128,1594989482.0636196
209,752,1128,1594989482.0646207
210,752,1128,1594989482.0646207
211,752,1128,1594989482.0656219
212,752,1128,1594989482.0666225
213,752,1128,1594989482.0666225
214,752,1128,1594989482.0676234
215,752,1128,1594989482.0686245
216,752,1128,1594989482.0686245
217,752,1128,1594989482.0696254
218,752,1128,1594989482.070626
219,752,1128,1594989482.071627
220,752,1128,1594989482.071627
221,752,1128,1594989482.072628
222,752,1128,1594989482.0736287
223,752,1128,1594989482.0736287
224,752,1128,1594989482.0746295
225,752,1128,1594989482.075631
226,752,1128,1594989482.075631
227,752,1128,1594989482.0766318
228,752,1128,1594989482.0776324
229,752,1128,1594989482.0776324
230,752,1128,1594989482.0786335
231,752,1128,1594989482.0796344
232,752,1128,1594989482.080635
233,752,1128,1594989482.080635
234,752,1128,1594989482.0816362
235,752,1128,1594989482.082637
236,752,1128,1594989482.082637
237,752,1128,1594989482.083638
238,752,1128,1594989482.0846388
239,752,1128,1594989482.0846388
240,752,1128,1594989482.0856397
241,752,1128,1594989482.0866406
242,752,1128,1594989482.0866406
243,752,1128,1594989482.0876417
244,752,1128,1594989482.0886426
245,752,1128,1594989482.0886426
246,752,1128,1594989482.0896435
247,752,1128,1594989482.0906441
248,752,1128,1594989482.0916455
249,752,1128,1594989482.0916455
250,752,1128,1594989482.0926461
251,752,1128,1594989482.093647
252,752,1128,1594989482.093647
253,752,1128,1594989482.0946484
254,752,1128,1594989482.095649
255,752,1128,1594989482.095649
256,752,1128,1594989482.0966496
257,752,1128,1594989482.0976508
258,752,1128,1594989482.0976508
259,752,1128,1594989482.0986516
260,752,1128,1594989482.0996523
261,752,1128,1594989482.1006534
262,752,1128,1594989482.1006534
263,752,1128,1594989482.1016543
264,752,1128,1594989482.1026556
265,752,1128,1594989482.1036563
266,752,1128,1594989482.1036563
267,752,1128,1594989482.1046572
268,752,1128,1594989482.1056585
269,752,1128,1594989482.1066587
270,752,1128,1594989482.1076598
271,752,1128,1594989482.1076598
272,752,1128,1594989482.1086605
273,752,1128,1594989482.1096613
274,752,1128,1594989482.1096613
275,752,1128,1594989482.1106625
276,752,1128,1594989482.1116633
277,752,1128,1594989482.1126642
278,752,1128,1594989482.1126642
279,752,1128,1594989482.1136653
280,752,1128,1594989482.1146665
281,752,1128,1594989482.1146665
282,752,1128,1594989482.115667
283,752,1128,1594989482.116668
